service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20241015,20250411
2,1,1,1,1,0,0,0,20241015,20250411
3,0,1,0,0,0,0,0,20241015,20250411
4,0,0,0,1,0,0,0,20241015,20250411
5,0,0,0,0,1,0,0,20241015,20250411
6,1,0,0,0,0,0,0,20241015,20250411
7,0,1,1,1,1,0,0,20241015,20250411
8,1,1,1,0,1,0,0,20241015,20250411
9,1,1,0,1,1,0,0,20241015,20250411
11,0,0,0,0,0,1,0,20241015,20250411
12,0,0,0,0,0,0,1,20241015,20250411
14,0,1,1,0,1,0,0,20241015,20250411
16,0,1,0,1,1,0,0,20241015,20250411
17,0,0,1,0,0,0,0,20241015,20250411
18,1,0,1,1,1,0,0,20241015,20250411
19,0,0,1,1,1,0,0,20241015,20250411
20,0,0,1,1,1,0,0,20241015,20250411
21,1,1,1,1,1,0,0,20241015,20250411
22,1,1,1,1,0,0,0,20241015,20250411
23,0,1,0,0,0,0,0,20241015,20250411
24,0,0,0,1,0,0,0,20241015,20250411
25,0,0,0,0,1,0,0,20241015,20250411
26,1,0,0,0,0,0,0,20241015,20250411
27,0,1,1,1,1,0,0,20241015,20250411
28,1,1,1,0,1,0,0,20241015,20250411
30,1,1,0,1,0,0,0,20241015,20250411
31,1,1,1,1,1,0,0,20241216,20250124
39,0,1,0,1,0,0,0,20241015,20250411
43,0,0,1,0,0,0,0,20241015,20250411
44,1,1,0,1,1,0,0,20241015,20250411
45,1,0,1,1,1,0,0,20241015,20250411
48,1,0,0,1,1,0,0,20241015,20250411
50,0,1,0,1,1,0,0,20241015,20250411
52,0,1,1,0,1,0,0,20241015,20250411
53,1,0,0,1,1,0,0,20241015,20250411
59,1,0,1,0,1,0,0,20241015,20250411
64,1,1,0,0,1,0,0,20241015,20250411
83,0,1,0,1,0,0,0,20241015,20250411
3001,1,1,1,1,1,0,0,20241015,20250411
3002,0,0,0,0,0,1,0,20241015,20250411
3003,0,0,0,0,0,0,1,20241015,20250411
4501,1,1,1,1,1,0,0,20241015,20250411
4502,0,0,0,0,0,1,0,20241015,20250411
4503,0,0,0,0,0,0,1,20241015,20250411
4506,0,0,0,0,1,0,0,20241015,20250411
4509,1,1,1,1,0,0,0,20241015,20250411
4513,1,0,1,1,1,0,0,20241015,20250411
4515,0,1,0,0,0,0,0,20241015,20250411
4601,1,1,1,1,1,0,0,20241015,20250411
4602,0,0,0,0,0,1,0,20241015,20250411
4603,0,0,0,0,0,0,1,20241015,20250411
4604,0,0,1,0,0,0,0,20241015,20250411
4607,1,1,0,1,1,0,0,20241015,20250411
4613,1,0,1,1,1,0,0,20241015,20250411
4615,0,1,0,0,0,0,0,20241015,20250411
6001,1,1,1,1,1,0,0,20241015,20241020
6002,0,0,0,0,0,1,0,20241015,20241020
6003,0,0,0,0,0,0,1,20241015,20241020
6004,0,0,1,0,0,0,0,20241015,20241020
6007,1,1,0,1,1,0,0,20241015,20241020
6012,0,1,1,1,1,0,0,20241015,20241020
6013,1,0,1,1,1,0,0,20241015,20241020
6014,1,0,0,0,0,0,0,20241015,20241020
6015,0,1,0,0,0,0,0,20241015,20241020
6025,0,1,0,1,1,0,0,20241015,20241020
6101,1,1,1,1,1,0,0,20241015,20241020
6112,0,1,1,1,1,0,0,20241015,20241020
6114,1,0,0,0,0,0,0,20241015,20241020
7001,1,1,1,1,1,0,0,20241021,20250411
7002,0,0,0,0,0,1,0,20241021,20250411
7003,0,0,0,0,0,0,1,20241021,20250411
7004,0,0,1,0,0,0,0,20241021,20250411
7007,1,1,0,1,1,0,0,20241021,20250411
7012,0,1,1,1,1,0,0,20241021,20250411
7013,1,0,1,1,1,0,0,20241021,20250411
7014,1,0,0,0,0,0,0,20241021,20250411
7015,0,1,0,0,0,0,0,20241021,20250411
7025,0,1,0,1,1,0,0,20241021,20250411
8401,1,1,1,1,1,0,0,20241015,20241027
8402,0,0,0,0,0,1,0,20241015,20241027
8403,0,0,0,0,0,0,1,20241015,20241027
8501,1,1,1,1,1,0,0,20241015,20250411
8502,0,0,0,0,0,1,0,20241015,20250411
8503,0,0,0,0,0,0,1,20241015,20250411
8601,1,1,1,1,1,0,0,20241028,20250411
8602,0,0,0,0,0,1,0,20241028,20250411
8603,0,0,0,0,0,0,1,20241028,20250411
