route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
100,11,942093,Glen Osmond,,1,3212,14681,1
100,11,942094,Glen Osmond,,1,310,14681,1
100,11,942095,Arndale,,0,3110,14678,1
100,11,942096,Glen Osmond,,1,313,14681,1
100,11,942097,Glen Osmond,,1,3151,14681,1
100,11,942098,Arndale,,0,3231,14678,1
100,11,942099,Arndale,,0,314,14678,1
100,11,942100,Glen Osmond,,1,376,13815,1
100,11,942101,Arndale,,0,376,14678,1
100,11,942102,Arndale,,0,376,14678,1
100,11,942103,Arndale,,0,3161,14678,1
100,11,942104,Glen Osmond,,1,3229,14681,1
100,11,942105,Glen Osmond,,1,3241,14681,1
100,11,942106,Arndale,,0,3145,14679,1
100,11,942107,Glen Osmond,,1,3146,13815,1
100,11,942108,Arndale,,0,3146,14678,1
100,11,942109,Arndale,,0,3146,14678,1
100,11,942110,Arndale,,0,3187,14679,1
100,11,942111,Glen Osmond,,1,3187,14681,1
100,11,942112,Glen Osmond,,1,3117,14681,1
100,11,942113,Glen Osmond,,1,3193,14681,1
100,1,945728,Arndale,,0,3299,14678,1
100,1,945729,Glen Osmond,,1,3471,14681,1
100,1,945730,Arndale,,0,3585,14678,1
100,21,945731,Arndale,,0,322,14678,1
100,1,945732,Arndale,,0,3165,14678,1
100,1,945733,Arndale,,0,3260,14678,1
100,1,945734,Arndale,,0,3227,14678,1
100,1,945735,Arndale,,0,3311,14678,1
100,1,945736,Glen Osmond,,1,3557,14681,1
100,1,945737,Glen Osmond,,1,3664,14681,1
100,1,945738,Arndale,,0,3666,14678,1
100,1,945739,Arndale,,0,3533,14678,1
100,1,945740,Glen Osmond,,1,3515,14681,1
100,1,945741,Glen Osmond,,1,3461,14681,1
100,1,945742,Glen Osmond,,1,3339,14681,1
100,1,945743,Arndale,,0,3142,14678,1
100,9,945744,Glen Osmond,,1,3150,14681,1
100,17,945745,Glen Osmond,,1,3150,14681,1
100,3,945746,Glen Osmond,,1,3332,14681,1
100,1,945747,Arndale,,0,3435,14678,1
100,1,945748,Glen Osmond,,1,3521,14681,1
100,18,945749,Glen Osmond,,1,3332,14681,1
100,1,945750,Arndale,,0,3563,14678,1
100,18,945751,Arndale,,0,3614,14678,1
100,18,945752,Glen Osmond,,1,3614,14681,1
100,3,945753,Arndale,,0,3614,14678,1
100,3,945754,Glen Osmond,,1,3614,14681,1
100,1,945755,Arndale,,0,355,14678,1
100,1,945756,Glen Osmond,,1,3377,14681,1
100,1,945757,Glen Osmond,,1,367,14682,1
100,1,945758,Glen Osmond,,1,3118,14681,1
100,1,945759,Arndale,,0,337,14678,1
100,1,945760,Arndale,,0,3591,14678,1
100,1,945761,Glen Osmond,,1,310,14681,1
100,1,945762,Glen Osmond,,1,3304,14681,1
100,1,945763,Glen Osmond,,1,3210,14681,1
100,44,945764,Arndale,,0,3235,10355,1
100,43,945765,Arndale,,0,3235,10355,1
100,9,945766,Arndale,,0,3289,14678,1
100,17,945767,Arndale,,0,3289,14678,1
100,21,945768,Arndale,,0,3308,14678,1
100,21,945769,Glen Osmond,,1,3324,14682,1
100,1,945770,Glen Osmond,,1,3359,13815,1
100,21,945771,Arndale,,0,3479,14680,1
100,45,945772,Arndale,,0,3545,14678,1
100,18,945773,Glen Osmond,,1,3545,14681,1
100,23,945774,Arndale,,0,3545,14678,1
100,3,945775,Glen Osmond,,1,3545,14681,1
100,21,945776,Glen Osmond,,1,3547,13815,1
100,1,945777,Glen Osmond,,1,3512,14681,1
100,1,945778,Glen Osmond,,1,332,14681,1
100,1,945779,Arndale,,0,3145,14679,1
100,1,945780,Glen Osmond,,1,333,14681,1
100,1,945781,Arndale,,0,3219,14679,1
100,1,945782,Arndale,,0,3219,14678,1
100,9,945783,Arndale,,0,3317,14679,1
